,scene_name,scene_id,scene_ver,th_BG,Layer.mean.of.Layer.1..unclassified,Layer.mean.of.Layer.2..unclassified,Layer.mean.of.Layer.3..unclassified,th_RL1,th_RL2,th_RL3,2,3,4,5,6,7,8,9,10,11,12
52,HBW.HBW_1462_7,3E9AC8B9-68CF-11E8-9ECC-D89EF314B0B8,2,204,189.7911877,139.5616521,173.5993308,0.377354347,0.277484939,0.345160715,2,3,2,2,3,7,8,5,10,6,10
53,HBW.HBW_1530_1,3E9AC8BA-68CF-11E8-9ECC-D89EF314B0B8,2,197,175.9008395,129.2487998,161.5381137,0.37691334,0.2769492,0.346137461,1,3,1,1,5,2,1,3,1,10,7
54,HBW.HBW_1530_2,3E9AC8BB-68CF-11E8-9ECC-D89EF314B0B8,2,181,175.1810908,106.1830848,142.8499185,0.412954433,0.250305415,0.336740152,1,1,4,5,1,4,7,6,8,1,11
55,HBW.HBW_1530_3,3E9AC8BC-68CF-11E8-9ECC-D89EF314B0B8,2,178,168.585607,105.9793497,141.1208146,0.405560206,0.254950631,0.339489163,1,1,4,5,1,1,7,6,8,1,11
56,HBW.HBW_1544_1,3E9AC8BF-68CF-11E8-9ECC-D89EF314B0B8,2,195,208.3840953,134.9044074,171.46693,0.404821556,0.262074762,0.333103682,2,3,2,2,3,7,8,4,9,6,3
57,HBW.HBW_1544_2,3E9AC8C0-68CF-11E8-9ECC-D89EF314B0B8,2,207,208.56538,133.8078538,172.8588322,0.404798912,0.259704049,0.335497038,2,3,2,2,3,7,8,4,9,6,9
58,HBW.HBW_1544_3,3E9AC8C1-68CF-11E8-9ECC-D89EF314B0B8,2,199,201.0753291,127.2447217,165.3449315,0.407311307,0.257755211,0.334933482,2,3,2,1,6,2,5,5,7,4,3
59,HBW.HBW_1615_1,3E9AC8C4-68CF-11E8-9ECC-D89EF314B0B8,2,191,184.7389346,114.6517613,157.1548299,0.404645154,0.251128868,0.344225977,1,1,1,4,5,5,4,3,2,2,1
60,HBW.HBW_1615_4,3E9AC8C7-68CF-11E8-9ECC-D89EF314B0B8,2,170,178.3691217,104.5967461,147.9883983,0.413893389,0.24270962,0.343396991,1,1,4,5,1,4,7,6,8,1,11
61,HBW.HBW_1615_5,3E9AC8C8-68CF-11E8-9ECC-D89EF314B0B8,2,192,180.8714434,114.6895421,157.944188,0.398829945,0.252895775,0.34827428,1,1,1,4,5,4,4,3,2,2,1
62,HBW.HBW_1632_2,3E9AC8C9-68CF-11E8-9ECC-D89EF314B0B8,2,199,205.6599286,138.3807951,170.8462993,0.399427291,0.268759532,0.331813178,2,3,2,2,3,7,8,4,9,6,9
63,HBW.HBW_1632_4,3E9AC8CB-68CF-11E8-9ECC-D89EF314B0B8,2,198,205.0216614,137.3452242,169.6226551,0.400441113,0.268257871,0.331301016,2,3,2,2,3,7,8,4,9,6,3
64,HBW.HBW_1632_5,3E9AC8CC-68CF-11E8-9ECC-D89EF314B0B8,2,190,195.9756127,133.4345511,162.000602,0.398802033,0.271533634,0.329664332,1,3,2,1,6,2,5,5,7,7,3
65,HBW.HBW_1657_1,3E9AC8CE-68CF-11E8-9ECC-D89EF314B0B8,2,184,183.2904584,117.1853132,153.7291673,0.403541315,0.258000966,0.338457718,1,1,1,4,5,5,4,3,2,2,1
66,HBW.HBW_1657_4,3E9AC8D1-68CF-11E8-9ECC-D89EF314B0B8,2,184,182.7536657,114.4923695,157.4078822,0.401962149,0.251823123,0.346214728,1,1,1,4,5,4,4,3,2,2,1
67,HBW.HBW_1657_5,3E9AC8D2-68CF-11E8-9ECC-D89EF314B0B8,2,176,166.4067791,99.03671576,141.5858025,0.408832436,0.243315939,0.347851625,1,1,4,5,1,1,7,6,8,1,11
68,HBW.HBW_1657_6,3E9AC8D3-68CF-11E8-9ECC-D89EF314B0B8,2,204,189.0526891,138.8089036,173.2435859,0.377271473,0.277005526,0.345723001,2,3,2,2,3,7,8,5,10,6,10
69,HBW.HBW_1657_7,3E9AC8D4-68CF-11E8-9ECC-D89EF314B0B8,2,204,191.9205039,140.4590842,172.9836778,0.37976742,0.27793687,0.34229571,2,3,2,2,3,7,8,5,10,6,10
70,HBW.HBW_1680_1,3E9AC8D5-68CF-11E8-9ECC-D89EF314B0B8,2,187,172.63744,103.4603414,146.424131,0.408588135,0.244863848,0.346548017,1,1,4,5,1,4,7,6,8,1,11
71,HBW.HBW_1680_2,3E9AC8D6-68CF-11E8-9ECC-D89EF314B0B8,2,188,178.9713171,112.2844372,154.4927425,0.401507394,0.251900877,0.34659173,1,1,1,4,5,4,4,3,2,2,1
72,HBW.HBW_1680_3,3E9AC8D7-68CF-11E8-9ECC-D89EF314B0B8,2,183,178.5379072,107.7729087,148.6785655,0.41044199,0.247759861,0.341798149,1,1,1,4,1,4,4,6,8,1,1
73,HBW.HBW_1680_7,44B09CA4-68CF-11E8-9ECC-D89EF314B0B8,2,201,189.2457758,136.7729023,171.2409989,0.380577361,0.275053274,0.344369364,2,3,2,1,6,7,1,5,10,7,10
74,HBW.HBW_1680_8,44B09CA5-68CF-11E8-9ECC-D89EF314B0B8,2,201,187.9096299,135.1759874,170.2741558,0.380877486,0.273990696,0.345131819,2,3,2,1,6,2,1,5,10,7,10
75,HBW.HBW_1707_1,44B09CA6-68CF-11E8-9ECC-D89EF314B0B8,2,191,180.4759916,125.0057333,167.8609739,0.381279762,0.264091394,0.354628844,1,3,1,1,5,2,1,3,7,7,7
76,HBW.HBW_1707_2,44B09CA7-68CF-11E8-9ECC-D89EF314B0B8,2,191,185.7254193,129.4464213,170.6876867,0.382261557,0.266427669,0.351310774,1,3,2,1,6,2,1,5,7,7,7
77,HBW.HBW_1707_3,44B09CA8-68CF-11E8-9ECC-D89EF314B0B8,2,196,186.5084776,130.1880339,171.5291563,0.382012848,0.266655447,0.351331705,1,3,2,1,6,2,1,5,7,7,7
78,HBW.HBW_1713_3,44B09CAD-68CF-11E8-9ECC-D89EF314B0B8,2,184,181.3284554,116.372062,157.1500987,0.398654963,0.255846772,0.345498265,1,1,1,4,5,4,4,3,2,2,1
79,HBW.HBW_1713_4,44B09CAE-68CF-11E8-9ECC-D89EF314B0B8,2,193,185.5051944,118.301719,157.8682743,0.401808889,0.256244481,0.341946629,1,3,1,4,5,5,4,3,2,2,7
80,HBW.HBW_1713_5,44B09CAF-68CF-11E8-9ECC-D89EF314B0B8,2,196,184.8923259,121.3213062,160.6331056,0.396045021,0.259873951,0.344081028,1,3,1,1,5,2,1,3,7,2,7
81,HBW.HBW_1713_6,44B09CB0-68CF-11E8-9ECC-D89EF314B0B8,2,204,197.0342859,134.9933423,170.2657533,0.392269325,0.268753974,0.338976701,2,3,2,2,3,7,8,5,10,6,10
82,HBW.HBW_1713_7,44B09CB1-68CF-11E8-9ECC-D89EF314B0B8,2,199,192.4972489,126.2720116,161.9170378,0.400463358,0.262691098,0.336845544,1,3,2,1,6,2,5,5,7,7,7
83,HBW.HBW_1743_3,44B09CB4-68CF-11E8-9ECC-D89EF314B0B8,2,179,177.8926165,115.0508787,158.0109632,0.394480226,0.255127489,0.350392285,1,1,1,4,5,4,4,3,2,2,1
84,HBW.HBW_1743_4,44B09CB5-68CF-11E8-9ECC-D89EF314B0B8,2,186,176.94513,119.0593884,161.6191886,0.386660759,0.260168751,0.35317049,1,1,1,4,5,4,4,3,2,2,1
85,HBW.HBW_1743_5,44B09CB6-68CF-11E8-9ECC-D89EF314B0B8,2,189,171.4402517,111.5100565,157.2248477,0.38948189,0.2533311,0.35718701,1,1,1,4,5,4,4,3,2,2,1
86,HBW.HBW_1764_3,44B09CB9-68CF-11E8-9ECC-D89EF314B0B8,2,202,194.1678644,140.7384648,176.2427915,0.379865398,0.27533739,0.344797212,2,3,2,2,3,7,8,4,10,6,10
87,HBW.HBW_1764_4,44B09CBA-68CF-11E8-9ECC-D89EF314B0B8,2,199,193.9954122,139.1244016,173.2331058,0.383122926,0.274757775,0.342119299,2,3,2,2,3,7,8,5,10,6,10
88,HBW.HBW_1764_5,44B09CBB-68CF-11E8-9ECC-D89EF314B0B8,2,206,197.2622751,145.0550774,180.1330932,0.377571264,0.277643705,0.344785031,2,2,2,2,3,7,8,4,10,6,9
89,HBW.HBW_1764_6,44B09CBC-68CF-11E8-9ECC-D89EF314B0B8,2,204,198.2179013,139.6563961,174.6182451,0.386772265,0.27250425,0.340723485,2,3,2,2,3,7,8,4,10,6,10
90,HBW.HBW_1764_7,44B09CBD-68CF-11E8-9ECC-D89EF314B0B8,2,204,199.7632942,141.4607298,174.5070874,0.387340011,0.274291635,0.338368354,2,3,2,2,3,7,8,4,10,6,9
91,HBW.HBW_1898_2,44B09CBF-68CF-11E8-9ECC-D89EF314B0B8,2,205,197.2556346,144.2975465,167.0939786,0.387804455,0.283688887,0.328506658,2,3,2,2,3,7,8,4,10,6,10
92,HBW.HBW_1898_3,44B09CC0-68CF-11E8-9ECC-D89EF314B0B8,2,211,211.3622461,144.2015916,170.2486545,0.40197266,0.274245275,0.323782065,2,2,2,2,3,7,8,4,9,6,9
